timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670604507718,40,ICSETEventApply-679,200,OK,ICSETEventApply 5-1,text,true,,2783,390,1,8,http://64.227.132.109/LandingPage/event/61d88c6022c79c40406009e7,40,0,0
1670604507345,735,"AddAdminUsers-1,336",200,OK,AddAdminUsers 19-1,text,true,,29024,339,1,7,http://64.227.132.109/api/signup/AdminList,101,0,0
1670604507034,1087,RegisterCorporateMembership-585,200,OK,RegisterCorporateMembership 3-5,text,true,,278,514,3,6,http://64.227.132.109/api/CorporateApplication,1087,0,1050
1670604506648,1479,"DownloadUserRegistration-1,217",200,OK,DownloadUserRegistration 10-1,text,true,,139378,360,1,5,http://64.227.132.109/api/registration/registercourseList,355,0,41
1670604506613,1643,"AddNewCourse-1,199",200,OK,AddCourse 8-1,text,true,,28619,326,1,4,http://64.227.132.109/api/course,1142,0,1050
1670604508256,7,"AddNewCourse-1,210",Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\HP\Desktop\Jmeter\avatar-1577909_960_720.png (The system cannot find the file specified),AddCourse 8-1,text,false,,2602,0,1,4,http://64.227.132.109/api/course/Course/add,0,0,0
1670604507233,1089,RegisterCorporateMembership-585,200,OK,RegisterCorporateMembership 3-7,text,true,,278,516,2,3,http://64.227.132.109/api/CorporateApplication,1089,0,1051
1670604506665,3923,"DownloadCorporateMembership-1,221",200,OK,DownloadCorporateMembership 12-1,text,true,,207691,347,1,2,http://64.227.132.109/api/CorporateApplication/data,582,0,41
1670604507333,5116,RegisterCorporateMembership-585,200,OK,RegisterCorporateMembership 3-8,text,true,,278,524,1,1,http://64.227.132.109/api/CorporateApplication,5116,0,5077
1670604512454,78,"AdminLogout-1,442",200,OK,Adminogout 1-1,text,true,,1414,341,1,1,http://64.227.132.109/assets/material/img/down-arrow-dark.svg,78,0,39
1670604512533,4231,"AdminLogout-1,453",200,OK,Adminogout 1-1,text,true,,28619,320,1,1,http://64.227.132.109/api/course,92,0,0
1670604516765,675,"AdminLogout-1,458",200,OK,Adminogout 1-1,text,true,,15040,330,1,1,http://64.227.132.109/api/hometestimonials,563,0,0
1670604517441,398,"AdminLogout-1,455",200,OK,Adminogout 1-1,text,true,,28619,320,1,1,http://64.227.132.109/api/course,92,0,0
1670604517840,626,"AdminLogout-1,456",200,OK,Adminogout 1-1,text,true,,28619,320,1,1,http://64.227.132.109/api/course,125,0,0
1670604518467,207,"AdminLogout-1,460",200,OK,Adminogout 1-1,text,true,,8892,389,1,1,http://64.227.132.109/nucleo-icons.8b3a763416dc36ab.woff2,136,0,0
1670604518674,155179,"AdminLogout-1,461",206,Partial Content,Adminogout 1-1,bin,true,,4033780,404,1,1,http://64.227.132.109/assets/banner-home/video/banner.m4v,112,0,0
1670604673854,76,"AdminLogout-1,459",200,OK,Adminogout 1-1,text,true,,8892,397,1,1,http://64.227.132.109/assets/admin/fonts/nucleo-icons.woff2,76,0,37
1670604673931,526,"AdminLogout-1,454",200,OK,Adminogout 1-1,text,true,,38729,320,1,1,http://64.227.132.109/api/events,94,0,0
1670604674458,439,"AdminLogout-1,457",200,OK,Adminogout 1-1,text,true,,15040,330,1,1,http://64.227.132.109/api/hometestimonials,95,0,0
1670604674897,3285,"AdminLogout-1,475",200,OK,Adminogout 1-1,text,true,,112807,334,1,1,http://64.227.132.109/uploads/file1-1670396733705.jfif,40,0,0
1670604678183,8085,"AdminLogout-1,462",200,OK,Adminogout 1-1,text,true,,318818,332,1,1,http://64.227.132.109/uploads/image-1641970430360.38,87,0,0
